Document ID,Bucket,Entity Type,Entity ID,Title,Document Type,Latest File Name,Remarks
6,EWS/LIG 01,payment,6,[EWS/LIG 01] Anshu Electrical Voucher - 20 Mar 2026,voucher,WhatsApp_Image_2026-03-28_at_1.25.10_PM.jpeg,Primary EWS/LIG payment voucher source for the released Anshu Electrical payment dated 20 March 2026.
12,SHIVA-2 01,ra_bill,11,[SHIVA-2 01] Uma Shankar 3rd RA Bill Sheet,ra_bill_scan,WhatsApp_Image_2026-03-27_at_11.38.00_AM.jpeg,"Primary SHIVA-2 source sheet used for the Uma Shankar 3rd RA bill, BOQ, and measurement linkage."
3,Shared Prayagraj 01,vendor,7,[Shared Prayagraj 01] 01 April 2026 Quotation - UltraTech Cement Limited - Omaxe Sangam,quotation,01_April_Quotation_Marco_Group_Naini_Prayagraj_1_.pdf,"Shared Prayagraj quotation. Source names only Omaxe Sangam, Naini, Prayagraj and does not explicitly identify Tower-E, EWS/LIG, or SHIVA-2."
4,Shared Prayagraj 02,company,3,[Shared Prayagraj 02] Structural Drawing Mark-up Reference,drawing,WhatsApp_Image_2026-04-02_at_12.44.36_PM.jpeg,Shared Prayagraj drawing reference. No readable title block or contract marker was available to assign it safely to one live site.
5,Shared Prayagraj 03,company,3,[Shared Prayagraj 03] Handwritten Quantity Working - 1096 Cuft,measurement_working,WhatsApp_Image_2026-03-29_at_11.09.05_AM.jpeg,"Shared Prayagraj handwritten quantity working. The note has no site label, so it remains shared until the related measurement item is identified."
10,Shared Prayagraj 04,company,3,[Shared Prayagraj 04] PRW Paid Payment Summary - January 2026,payment_summary,WhatsApp_Image_2026-03-27_at_2.02.32_PM.jpeg,"Shared Prayagraj payment summary spanning more than one live site, including Tower-E-linked and mixed departmental rows."
13,Shared Prayagraj 05,company,3,[Shared Prayagraj 05] Payment Summary - 25 Mar 2026,payment_summary,WhatsApp_Image_2026-03-26_at_3.41.36_PM.jpeg,"Shared Prayagraj payment summary covering Tower-E, EWS/LIG, and SHIVA-2-linked payments."
19,Shared Prayagraj 06,company,3,[Shared Prayagraj 06] Payment Summary - 25 Mar 2026 Marked Copy,payment_summary,WhatsApp_Image_2026-03-25_at_3.32.14_PM.jpeg,Marked-up shared Prayagraj payment summary covering more than one live site.
14,Shared Prayagraj 07,vendor,8,[Shared Prayagraj 07] Roshni Enterprises Slip Quotation - 28 Mar 2026,quotation,WhatsApp_Image_2026-03-25_at_11.10.39_AM.jpeg,"Shared Prayagraj slip quotation. The source does not clearly name Tower-E, EWS/LIG, or SHIVA-2, so site ownership remains open."
22,Tower-E 01,contract,11,[Tower-E 01] Main Work Order - OPRL/ATE/11094106758,work_order,MARCO_ENTERPRISES_11094106758_TOWER-E_WORK_ORDER.pdf,"Primary contract document for Tower-E. Includes signed work order, commercial terms, acceptance, and safety policy reference."
23,Tower-E 02,contract,11,[Tower-E 02] BOQ Workbook - Civil & Structure Works,boq_workbook,BOQ-Tower-E.xlsx,Structured BOQ source workbook used to load Tower-E BOQ items and contractual quantities.
26,Tower-E 03,contract,11,[Tower-E 03] Email Reference - 8th RA Invoice and EPFO/ESIC,email_reference,WhatsApp_Image_2026-03-27_at_7.00.44_PM_1_.jpeg,Primary email screenshot referencing the Tower-E 8th RA invoice and EPFO/ESIC attachments.
31,Tower-E 04,contract,11,[Tower-E 04] Email Reference - 8th RA Invoice and EPFO/ESIC Alternate,email_reference,WhatsApp_Image_2026-03-27_at_7.00.44_PM.jpeg,Alternate screenshot of the Tower-E 8th RA invoice and EPFO/ESIC email reference.
25,Tower-E 05,contract,11,[Tower-E 05] Departmental Labour Sheet - Jan 2026,supporting_scan,WhatsApp_Image_2026-03-28_at_12.29.31_PM.jpeg,January 2026 Tower-E departmental labour source sheet archived under the main contract.
24,Tower-E 06,contract,11,[Tower-E 06] Departmental Labour Sheet - Feb 2026,supporting_scan,WhatsApp_Image_2026-03-28_at_1.18.14_PM_1_.jpeg,Primary February 2026 Tower-E departmental labour source sheet archived under the main contract.
28,Tower-E 07,contract,11,[Tower-E 07] Departmental Labour Sheet - Feb 2026 Alternate,supporting_scan,WhatsApp_Image_2026-03-28_at_1.18.14_PM.jpeg,Alternate February 2026 Tower-E departmental labour sheet copy.
29,Tower-E 08,contract,11,[Tower-E 08] Departmental Labour Sheet - Feb 2026 Highlight Crop,supporting_scan,WhatsApp_Image_2026-03-28_at_12.58.06_PM.jpeg,Highlighted crop from the February 2026 Tower-E departmental labour source sheet.
30,Tower-E 09,contract,11,[Tower-E 09] Departmental Labour Sheet - Feb 2026 Balance Variant,supporting_scan,WhatsApp_Image_2026-03-28_at_12.38.58_PM.jpeg,Balance-focused February 2026 Tower-E departmental labour sheet variant.
27,Tower-E 10,contract,11,[Tower-E 10] Weekly Food Advance Summary - 25 Mar 2026,supporting_scan,WhatsApp_Image_2026-03-27_at_1.24.03_PM.jpeg,Primary Tower-E weekly food advance summary for 25 March 2026.
32,Tower-E 11,contract,11,[Tower-E 11] Weekly Food Advance Summary - 25 Mar 2026 Alternate,supporting_scan,WhatsApp_Image_2026-03-25_at_3.13.21_PM.jpeg,Alternate copy of the Tower-E weekly food advance summary dated 25 March 2026.
33,Tower-E 12,contract,11,[Tower-E 12] Site Expense Summary Support - 25 Mar 2026,supporting_scan,WhatsApp_Image_2026-03-25_at_3.13.21_PM.jpeg,"Tower-E site expense support sheet dated 25 March 2026, archived with the main contract for reference."
9,Tower-E Company 01,company,3,[Tower-E Company 01] Email Reference - 8th RA Invoice and EPFO/ESIC,email_reference,WhatsApp_Image_2026-03-27_at_7.00.44_PM_1_.jpeg,Primary Tower-E company-level email reference for the 8th RA invoice and EPFO/ESIC attachments.
18,Tower-E Company 02,company,3,[Tower-E Company 02] Email Reference - 8th RA Invoice and EPFO/ESIC Alternate,email_reference,WhatsApp_Image_2026-03-27_at_7.00.44_PM.jpeg,Alternate Tower-E company-level email reference for the 8th RA invoice and EPFO/ESIC attachments.
11,Tower-E Company 03,company,3,[Tower-E Company 03] Weekly Food Advance Summary - 25 Mar 2026,labour_advance_summary,WhatsApp_Image_2026-03-27_at_1.24.03_PM.jpeg,Primary Tower-E company-level weekly food advance summary dated 25 March 2026.
20,Tower-E Company 04,company,3,[Tower-E Company 04] Weekly Food Advance Summary - 25 Mar 2026 Alternate,labour_advance_summary,WhatsApp_Image_2026-03-25_at_3.13.21_PM.jpeg,Alternate Tower-E company-level weekly food advance summary dated 25 March 2026.
7,Tower-E Labour 01,labour_bill,2,[Tower-E Labour 01] Departmental Labour Sheet - Feb 2026,labour_sheet,WhatsApp_Image_2026-03-28_at_1.18.14_PM_1_.jpeg,Primary Tower-E labour-bill source sheet for February 2026.
8,Tower-E Labour 02,labour_bill,1,[Tower-E Labour 02] Departmental Labour Sheet - Jan 2026,labour_sheet,WhatsApp_Image_2026-03-28_at_12.29.31_PM.jpeg,Primary Tower-E labour-bill source sheet for January 2026.
15,Tower-E Labour 03,labour_bill,2,[Tower-E Labour 03] Departmental Labour Sheet - Feb 2026 Alternate,labour_sheet,WhatsApp_Image_2026-03-28_at_1.18.14_PM.jpeg,Alternate Tower-E labour-bill source sheet for February 2026.
16,Tower-E Labour 04,labour_bill,2,[Tower-E Labour 04] Departmental Labour Sheet - Feb 2026 Highlight Crop,labour_sheet,WhatsApp_Image_2026-03-28_at_12.58.06_PM.jpeg,Highlighted crop from the February 2026 Tower-E labour-bill source sheet.
17,Tower-E Labour 05,labour_bill,2,[Tower-E Labour 05] Departmental Labour Sheet - Feb 2026 Balance Variant,labour_sheet,WhatsApp_Image_2026-03-28_at_12.38.58_PM.jpeg,Balance-focused February 2026 Tower-E labour-bill source sheet variant.
21,Tower-E Site Expense 01,site_expense,1,[Tower-E Site Expense 01] Site Expense Summary Support - 25 Mar 2026,site_expense_support,WhatsApp_Image_2026-03-25_at_3.13.21_PM.jpeg,Primary Tower-E site-expense support sheet dated 25 March 2026.
